ligand,pocket,best_score_kcal_mol,log_file
fda_1016,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1016__TcS6_pocket11_log.txt
fda_1016,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1016__TcS6_pocket2_log.txt
fda_1017,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1017__Human_pocket12_log.txt
fda_1017,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1017__Human_pocket5_log.txt
fda_1017,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1017__Human_pocket9_log.txt
fda_1017,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1017__TcS6_pocket11_log.txt
fda_1017,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1017__TcS6_pocket2_log.txt
fda_1018,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1018__Human_pocket12_log.txt
fda_1018,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1018__Human_pocket5_log.txt
fda_1018,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1018__Human_pocket9_log.txt
fda_1018,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1018__TcS6_pocket11_log.txt
fda_1018,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1018__TcS6_pocket2_log.txt
fda_1019,Human_pocket12,-4.139,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1019__Human_pocket12_log.txt
fda_1019,Human_pocket5,-6.059,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1019__Human_pocket5_log.txt
fda_1019,Human_pocket9,-4.692,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1019__Human_pocket9_log.txt
fda_1019,TcS6_pocket11,-4.474,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1019__TcS6_pocket11_log.txt
fda_1019,TcS6_pocket2,-5.44,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1019__TcS6_pocket2_log.txt
fda_101,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_101__Human_pocket12_log.txt
fda_101,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_101__Human_pocket5_log.txt
fda_101,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_101__Human_pocket9_log.txt
fda_101,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_101__TcS6_pocket11_log.txt
fda_101,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_101__TcS6_pocket2_log.txt
fda_1020,Human_pocket12,-5.052,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1020__Human_pocket12_log.txt
fda_1020,Human_pocket5,-6.061,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1020__Human_pocket5_log.txt
fda_1020,Human_pocket9,-5.422,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1020__Human_pocket9_log.txt
fda_1020,TcS6_pocket11,-4.117,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1020__TcS6_pocket11_log.txt
fda_1020,TcS6_pocket2,-3.662,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1020__TcS6_pocket2_log.txt
fda_1021,Human_pocket12,-4.702,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1021__Human_pocket12_log.txt
fda_1021,Human_pocket5,-4.951,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1021__Human_pocket5_log.txt
fda_1021,Human_pocket9,-4.682,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1021__Human_pocket9_log.txt
fda_1021,TcS6_pocket11,-5.305,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1021__TcS6_pocket11_log.txt
fda_1021,TcS6_pocket2,-4.551,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1021__TcS6_pocket2_log.txt
fda_1022,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1022__Human_pocket12_log.txt
fda_1022,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1022__Human_pocket5_log.txt
fda_1022,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1022__Human_pocket9_log.txt
fda_1022,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1022__TcS6_pocket11_log.txt
fda_1022,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1022__TcS6_pocket2_log.txt
fda_1023,Human_pocket12,-4.157,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1023__Human_pocket12_log.txt
fda_1023,Human_pocket5,-5.571,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1023__Human_pocket5_log.txt
fda_1023,Human_pocket9,-4.309,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1023__Human_pocket9_log.txt
fda_1023,TcS6_pocket11,-4.25,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1023__TcS6_pocket11_log.txt
fda_1023,TcS6_pocket2,-4.141,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1023__TcS6_pocket2_log.txt
fda_1024,Human_pocket12,-4.916,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1024__Human_pocket12_log.txt
fda_1024,Human_pocket5,-5.967,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1024__Human_pocket5_log.txt
fda_1024,Human_pocket9,-5.201,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1024__Human_pocket9_log.txt
fda_1024,TcS6_pocket11,-5.197,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1024__TcS6_pocket11_log.txt
fda_1024,TcS6_pocket2,-5.238,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1024__TcS6_pocket2_log.txt
fda_1025,Human_pocket12,-3.842,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1025__Human_pocket12_log.txt
fda_1025,Human_pocket5,-5.05,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1025__Human_pocket5_log.txt
fda_1025,Human_pocket9,-3.75,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1025__Human_pocket9_log.txt
fda_1025,TcS6_pocket11,-3.863,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1025__TcS6_pocket11_log.txt
fda_1025,TcS6_pocket2,-3.889,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1025__TcS6_pocket2_log.txt
fda_1026,Human_pocket12,-4.546,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1026__Human_pocket12_log.txt
fda_1026,Human_pocket5,-5.933,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1026__Human_pocket5_log.txt
fda_1026,Human_pocket9,-5.103,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1026__Human_pocket9_log.txt
fda_1026,TcS6_pocket11,-4.841,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1026__TcS6_pocket11_log.txt
fda_1026,TcS6_pocket2,-4.659,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1026__TcS6_pocket2_log.txt
fda_1027,Human_pocket12,-5.579,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1027__Human_pocket12_log.txt
fda_1027,Human_pocket5,-7.066,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1027__Human_pocket5_log.txt
fda_1027,Human_pocket9,-5.621,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1027__Human_pocket9_log.txt
fda_1027,TcS6_pocket11,-5.552,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1027__TcS6_pocket11_log.txt
fda_1027,TcS6_pocket2,-5.381,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1027__TcS6_pocket2_log.txt
fda_1028,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1028__Human_pocket12_log.txt
fda_1028,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1028__Human_pocket5_log.txt
fda_1028,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1028__Human_pocket9_log.txt
fda_1028,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1028__TcS6_pocket11_log.txt
fda_1028,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1028__TcS6_pocket2_log.txt
fda_1029,Human_pocket12,-4.631,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1029__Human_pocket12_log.txt
fda_1029,Human_pocket5,-5.291,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1029__Human_pocket5_log.txt
fda_1029,Human_pocket9,-4.956,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1029__Human_pocket9_log.txt
fda_1029,TcS6_pocket11,-4.983,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1029__TcS6_pocket11_log.txt
fda_1029,TcS6_pocket2,-4.787,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1029__TcS6_pocket2_log.txt
fda_102,Human_pocket12,-2.933,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_102__Human_pocket12_log.txt
fda_102,Human_pocket5,-3.777,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_102__Human_pocket5_log.txt
